activity_id,week,location_id,co_share_group
CAPGC12,1,PLAT:CAPLBG:CAPG1:EB,g3
CAPGC12,1,PLAT:CAPLBG:CAPG2:EB,g4
CAPGC12,1,SEC:CAPLBG:CAPG1_CAPG2:EB,g1
CAPGC23,1,PLAT:CAPLBG:CAPG1:EB,g1
CAPGC23,1,PLAT:CAPLBG:CAPG2:EB,g3
CAPGC23,1,SEC:CAPLBG:CAPG1_CAPG2:EB,g2
CAPGC34,1,PLAT:CAPLBG:CAPG1:EB,g1
CAPGC34,1,PLAT:CAPLBG:CAPG2:EB,g5
CAPGC34,1,SEC:CAPLBG:CAPG1_CAPG2:EB,g3
CAPGC45,1,PLAT:CAPLBG:CAPG1:EB,g6
CAPGC45,1,PLAT:CAPLBG:CAPG2:EB,g5
CAPGC45,1,SEC:CAPLBG:CAPG1_CAPG2:EB,g1
CAPGC56,1,PLAT:CAPLBG:CAPG1:EB,g3
CAPGC56,1,PLAT:CAPLBG:CAPG2:EB,g3
CAPGC56,1,SEC:CAPLBG:CAPG1_CAPG2:EB,g2
CAPGC67,1,PLAT:CAPLBG:CAPG1:EB,g3
CAPGC67,1,PLAT:CAPLBG:CAPG2:EB,g3
CAPGC67,1,SEC:CAPLBG:CAPG1_CAPG2:EB,g2
CAPGPC1,1,PLAT:CAPLBG:CAPG1:EB,g4
CAPGPC1,1,PLAT:CAPLBG:CAPG2:EB,g3
CAPGPC1,1,SEC:CAPLBG:CAPG1_CAPG2:EB,g4
CAPGPC2,1,PLAT:CAPLBG:CAPG1:EB,g3
CAPGPC2,1,PLAT:CAPLBG:CAPG2:EB,g7
CAPGPC2,1,SEC:CAPLBG:CAPG1_CAPG2:EB,g5
CAPGPC3,1,PLAT:CAPLBG:CAPG1:EB,g7
CAPGPC3,1,PLAT:CAPLBG:CAPG2:EB,g6
CAPGPC3,1,SEC:CAPLBG:CAPG1_CAPG2:EB,g3
CAPGPC4,1,PLAT:CAPLBG:CAPG1:EB,g1
CAPGPC4,1,PLAT:CAPLBG:CAPG2:EB,g4
CAPGPC4,1,SEC:CAPLBG:CAPG1_CAPG2:EB,g7
CAPGPC5,1,PLAT:CAPLBG:CAPG1:EB,g6
CAPGPC5,1,PLAT:CAPLBG:CAPG2:EB,g1
CAPGPC5,1,SEC:CAPLBG:CAPG1_CAPG2:EB,g2
CAPGPC6,1,PLAT:CAPLBG:CAPG1:EB,g2
CAPGPC6,1,PLAT:CAPLBG:CAPG2:EB,g2
CAPGPC6,1,SEC:CAPLBG:CAPG1_CAPG2:EB,g1
CAPGPC7,1,PLAT:CAPLBG:CAPG1:EB,g5
CAPGPC7,1,PLAT:CAPLBG:CAPG2:EB,g5
CAPGPC7,1,SEC:CAPLBG:CAPG1_CAPG2:EB,g6
